IId sex Anho Population d_fibra p_vellongras peso_vivo
Merino34991 M 2020 Ayaviri 11.31 2.46 42.37
Merino34992 F 2020 Ayaviri 12.46 0 45.7
Merino34993 M 2020 Ayaviri 12.63 3.29 46.61
Merino34994 F 2020 Ayaviri 12.86 0 45.32
Merino34995 M 2020 Ayaviri 11.2 1.39 0
Merino34996 F 2020 Ayaviri 11.99 1.64 43.73
Merino34997 M 2020 Ayaviri 14.62 1.25 45.8
Merino34998 F 2020 Ayaviri 12.03 2.94 47.05
Merino34999 M 2020 Ayaviri 13.52 0 46.21
Merino35000 F 2020 Ayaviri 11.96 2.04 0
Merino35001 M 2020 Ayaviri 10.96 2.28 46.51
Merino35002 F 2020 Ayaviri 0 3.12 45.25
Merino35003 M 2020 Ayaviri 13.42 0 42.27
Merino35004 F 2020 Ayaviri 13.06 3.74 44.87
Merino35005 M 2020 Ayaviri 11.6 0.47 45.67
Merino35006 F 2020 Ayaviri 11.82 2.13 44.45
Merino35007 M 2020 Ayaviri 11.78 3.08 44.99
Merino35008 F 2020 Ayaviri 12.69 3.48 44.83
Merino35009 M 2020 Ayaviri 12.64 0.41 44.67
Merino35010 F 2020 Ayaviri 12.62 4.02 46
Merino35011 M 2020 Ayaviri 12.12 0 0
Merino35012 F 2020 Ayaviri 12.84 3.46 43.5
Merino35013 M 2020 Ayaviri 13.59 2.51 45.91
Merino35014 F 2020 Ayaviri 11.85 1.07 45.23
Merino35015 M 2020 Ayaviri 11.93 3.7 46.52
Merino35016 F 2020 Ayaviri 12.73 4.18 46.42
Merino35017 M 2020 Ayaviri 0 2.47 0
Merino35018 F 2020 Ayaviri 13.56 0 42.75
Merino35019 M 2020 Ayaviri 12.43 0 45.93
Merino35020 F 2020 Ayaviri 12.19 2.05 42.15
Merino35021 M 2020 Ayaviri 13.64 5 46.27
Merino35022 F 2020 Ayaviri 12.4 2.75 42.8
Merino35023 M 2020 Ayaviri 13.53 3.12 43.53
Merino35024 F 2020 Ayaviri 13.35 0 43.33
Merino35025 M 2020 Ayaviri 12.28 3.22 43.96
Merino35026 F 2020 Ayaviri 10.78 0 44.99
Merino35027 M 2020 Ayaviri 12.12 0 44.66
Merino35028 F 2020 Ayaviri 12.03 2.34 0
Merino35029 M 2020 Ayaviri 12.86 2.14 45.32
Merino35030 F 2020 Ayaviri 12.88 4 46.89
Merino35031 M 2020 Ayaviri 10.47 1.96 43.94
Merino35032 F 2020 Ayaviri 0 0 43.67
Merino35033 M 2020 Ayaviri 0 0 44.13
Merino35034 F 2020 Ayaviri 0 4.44 0
Merino35035 M 2020 Ayaviri 12.97 0 42.81
Merino35036 F 2020 Ayaviri 12.98 2.68 44.35
Merino35037 M 2020 Ayaviri 13.18 2.09 0
Merino35038 F 2020 Ayaviri 13.72 3.54 43.94
Merino35039 M 2020 Ayaviri 11.87 4.1 44.08
Merino35040 F 2020 Ayaviri 11.89 0 45.78
Merino35041 M 2020 Ayaviri 12.8 5.14 43.36
Merino35042 F 2020 Ayaviri 12.65 0 46.22
Merino35043 M 2020 Ayaviri 0 3.54 0
Merino35044 F 2020 Ayaviri 13.38 2.31 0
Merino35045 M 2020 Ayaviri 13.27 0.99 44.2
Merino35046 F 2020 Ayaviri 12.95 3.45 45.49
Merino35047 M 2020 Ayaviri 12.08 4.92 43.89
Merino35048 F 2020 Ayaviri 12.25 2.78 44.51
Merino35049 M 2020 Ayaviri 11.8 1.47 42.62
Merino35050 F 2020 Ayaviri 0 2.4 44.56
Merino35051 M 2020 Ayaviri 12.17 2.75 45.15
Merino35052 F 2020 Ayaviri 0 1.88 46.08
Merino35053 M 2020 Ayaviri 0 1.82 0
Merino35054 F 2020 Ayaviri 11.89 2.44 43.86
Merino35055 M 2020 Ayaviri 14.06 0 44.68
Merino35056 F 2020 Ayaviri 12.73 1.28 43.79
Merino35057 M 2020 Ayaviri 12.66 0 45.7
Merino35058 F 2020 Ayaviri 0 0.33 43.38
Merino35059 M 2020 Ayaviri 12.91 1.07 46.28
Merino35060 F 2020 Ayaviri 13.27 1.52 0
Merino35061 M 2020 Ayaviri 12.33 1.59 42.97
Merino35062 F 2020 Ayaviri 13.68 0.89 43
Merino35063 M 2020 Ayaviri 11.94 0 45.52
Merino35064 F 2020 Ayaviri 12.71 1.97 44.55
Merino35065 M 2020 Ayaviri 12.96 0.23 44.21
Merino35066 F 2020 Ayaviri 12.54 0 44.7
Merino35067 M 2020 Ayaviri 0 3.86 0
Merino35068 F 2020 Ayaviri 11 3.41 45.32
Merino35069 M 2020 Ayaviri 11.84 3.59 44.99
Merino35070 F 2020 Ayaviri 12.48 2.58 0
