IId FId MId
Merino17191 Merino15785 Merino15662
Merino17192 0 0
Merino17193 Merino15541 Merino15696
Merino17194 Merino15541 Merino15696
Merino17195 Merino15533 Merino15732
Merino17196 Merino15533 Merino15732
Merino17197 Merino15421 Merino15398
Merino17198 Merino15421 Merino15398
Merino17199 Merino15557 Merino15656
Merino17200 0 Merino15656
Merino17201 0 Merino15526
Merino17202 Merino15413 Merino15526
Merino17203 Merino15715 Merino15674
Merino17204 0 Merino15674
Merino17205 0 0
Merino17206 Merino15453 Merino15574
Merino17207 Merino15429 Merino15620
Merino17208 Merino15429 Merino15620
Merino17209 Merino15545 Merino15600
Merino17210 Merino15545 Merino15600
Merino17211 Merino15471 Merino15746
Merino17212 Merino15471 Merino15746
Merino17213 Merino15641 Merino15742
Merino17214 Merino15641 Merino15742
Merino17215 0 Merino15694
Merino17216 Merino15649 Merino15694
Merino17217 Merino15473 Merino15762
Merino17218 Merino15473 Merino15762
Merino17219 0 Merino15566
Merino17220 Merino15759 Merino15566
Merino17221 0 0
Merino17222 Merino15605 Merino15770
Merino17223 Merino15517 Merino15642
Merino17224 Merino15517 Merino15642
Merino17225 Merino15703 Merino15678
Merino17226 Merino15703 Merino15678
Merino17227 0 Merino15430
Merino17228 Merino15555 Merino15430
Merino17229 0 Merino15456
Merino17230 0 Merino15456
Merino17231 0 Merino15586
Merino17232 Merino15541 Merino15586
Merino17233 Merino15533 Merino15514
Merino17234 Merino15533 Merino15514
Merino17235 Merino15421 Merino15542
Merino17236 Merino15421 Merino15542
Merino17237 Merino15557 Merino15786
Merino17238 Merino15557 Merino15786
Merino17239 Merino15413 Merino15736
Merino17240 Merino15413 0
Merino17241 Merino15715 Merino15412
Merino17242 0 Merino15412
Merino17243 0 Merino15774
Merino17244 0 Merino15774
Merino17245 Merino15429 Merino15650
Merino17246 Merino15429 Merino15650
Merino17247 Merino15545 Merino15646
Merino17248 Merino15545 Merino15646
Merino17249 Merino15471 Merino15618
Merino17250 Merino15471 Merino15618
Merino17251 Merino15641 0
Merino17252 Merino15641 Merino15682
Merino17253 Merino15649 Merino15584
Merino17254 0 Merino15584
Merino17255 Merino15473 Merino15740
Merino17256 Merino15473 Merino15740
Merino17257 Merino15759 Merino15596
Merino17258 Merino15759 Merino15596
Merino17259 Merino15605 Merino15664
Merino17260 Merino15605 Merino15664
Merino17261 Merino15517 Merino15416
Merino17262 Merino15517 Merino15416
Merino17263 Merino15703 Merino15478
Merino17264 0 Merino15478
Merino17265 0 0
Merino17266 Merino15555 Merino15452
Merino17267 Merino15763 Merino15622
Merino17268 Merino15763 Merino15622
Merino17269 Merino15785 Merino15444
Merino17270 Merino15785 Merino15444
Merino17271 Merino15533 Merino15714
Merino17272 Merino15533 Merino15714
Merino17273 Merino15421 Merino15518
Merino17274 Merino15421 Merino15518
Merino17275 0 Merino15500
Merino17276 Merino15557 Merino15500
Merino17277 Merino15413 Merino15652
Merino17278 0 Merino15652
Merino17279 0 Merino15716
Merino17280 0 Merino15716
Merino17281 Merino15453 0
Merino17282 0 Merino15760
Merino17283 0 Merino15470
Merino17284 Merino15429 Merino15470
Merino17285 Merino15545 Merino15776
Merino17286 0 Merino15776
Merino17287 Merino15471 Merino15392
Merino17288 0 Merino15392
Merino17289 Merino15641 Merino15568
Merino17290 0 Merino15568
Merino17291 Merino15649 Merino15530
Merino17292 Merino15649 Merino15530
Merino17293 Merino15473 Merino15534
Merino17294 Merino15473 Merino15534
Merino17295 Merino15759 Merino15558
Merino17296 Merino15759 Merino15558
Merino17297 Merino15605 Merino15748
Merino17298 Merino15605 Merino15748
Merino17299 Merino15517 Merino15434
Merino17300 Merino15517 Merino15434
Merino17301 Merino15703 Merino15404
Merino17302 0 Merino15404
Merino17303 Merino15555 Merino15490
Merino17304 Merino15555 Merino15490
Merino17305 Merino15763 Merino15394
Merino17306 Merino15763 Merino15394
Merino17307 0 Merino15690
Merino17308 Merino15785 Merino15690
Merino17309 Merino15541 Merino15496
Merino17310 Merino15541 Merino15496
Merino17311 Merino15421 Merino15494
Merino17312 0 Merino15494
Merino17313 Merino15557 Merino15532
Merino17314 0 Merino15532
Merino17315 0 Merino15400
Merino17316 Merino15413 Merino15400
Merino17317 Merino15715 Merino15448
Merino17318 Merino15715 Merino15448
Merino17319 Merino15453 Merino15516
Merino17320 Merino15453 Merino15516
Merino17321 Merino15429 Merino15752
Merino17322 Merino15429 Merino15752
Merino17323 Merino15545 Merino15544
Merino17324 Merino15545 Merino15544
Merino17325 Merino15471 Merino15476
Merino17326 Merino15471 Merino15476
Merino17327 0 Merino15602
Merino17328 Merino15641 Merino15602
Merino17329 Merino15649 Merino15698
Merino17330 Merino15649 Merino15698
Merino17331 Merino15473 0
Merino17332 Merino15473 Merino15638
Merino17333 Merino15759 Merino15474
Merino17334 0 Merino15474
Merino17335 Merino15605 Merino15692
Merino17336 Merino15605 Merino15692
Merino17337 0 Merino15648
Merino17338 Merino15517 Merino15648
Merino17339 Merino15703 Merino15744
Merino17340 Merino15703 0
Merino17341 Merino15555 Merino15420
Merino17342 Merino15555 Merino15420
Merino17343 Merino15763 Merino15608
Merino17344 Merino15763 Merino15608
Merino17345 Merino15785 Merino15550
Merino17346 Merino15785 Merino15550
Merino17347 Merino15541 Merino15700
Merino17348 Merino15541 Merino15700
Merino17349 Merino15533 Merino15406
Merino17350 Merino15533 Merino15406
Merino17351 0 Merino15590
Merino17352 0 Merino15590
Merino17353 Merino15413 Merino15706
Merino17354 Merino15413 Merino15706
Merino17355 Merino15715 Merino15758
Merino17356 Merino15715 Merino15758
Merino17357 0 Merino15480
Merino17358 Merino15453 Merino15480
Merino17359 Merino15429 0
Merino17360 Merino15429 Merino15728
Merino17361 0 Merino15502
Merino17362 0 Merino15502
Merino17363 0 Merino15466
Merino17364 0 Merino15466
Merino17365 0 Merino15614
Merino17366 Merino15641 Merino15614
Merino17367 Merino15649 Merino15624
Merino17368 Merino15649 Merino15624
Merino17369 Merino15473 Merino15640
Merino17370 Merino15473 Merino15640
Merino17371 0 Merino15594
Merino17372 0 Merino15594
Merino17373 Merino15605 Merino15454
Merino17374 Merino15605 Merino15454
Merino17375 Merino15517 Merino15708
Merino17376 Merino15517 Merino15708
Merino17377 Merino15703 0
Merino17378 Merino15703 Merino15788
Merino17379 Merino15555 Merino15418
Merino17380 Merino15555 Merino15418
Merino17381 Merino15763 0
Merino17382 Merino15763 Merino15402
Merino17383 Merino15785 Merino15426
Merino17384 Merino15785 Merino15426
Merino17385 Merino15541 Merino15492
Merino17386 0 Merino15492
Merino17387 Merino15533 Merino15562
Merino17388 Merino15533 Merino15562
Merino17389 0 Merino15546
Merino17390 Merino15421 Merino15546
Merino17391 Merino15413 Merino15684
Merino17392 Merino15413 Merino15684
Merino17393 Merino15715 Merino15438
Merino17394 Merino15715 Merino15438
Merino17395 0 Merino15442
Merino17396 0 Merino15442
Merino17397 Merino15429 Merino15668
Merino17398 0 Merino15668
Merino17399 0 Merino15616
Merino17400 0 Merino15616
Merino17401 Merino15471 Merino15612
Merino17402 Merino15471 Merino15612
Merino17403 Merino15641 Merino15766
Merino17404 Merino15641 Merino15766
Merino17405 Merino15649 Merino15508
Merino17406 Merino15649 Merino15508
Merino17407 Merino15473 Merino15606
Merino17408 Merino15473 Merino15606
Merino17409 Merino15759 Merino15432
Merino17410 Merino15759 Merino15432
Merino17411 Merino15605 Merino15522
Merino17412 0 Merino15522
Merino17413 Merino15517 Merino15414
Merino17414 Merino15517 Merino15414
Merino17415 0 Merino15672
Merino17416 Merino15703 Merino15672
Merino17417 Merino15555 Merino15768
Merino17418 Merino15555 Merino15768
Merino17419 Merino15763 0
Merino17420 Merino15763 Merino15718
Merino17421 Merino15785 Merino15666
Merino17422 Merino15785 Merino15666
Merino17423 Merino15541 Merino15670
Merino17424 Merino15541 Merino15670
Merino17425 Merino15533 Merino15580
Merino17426 Merino15533 Merino15580
Merino17427 Merino15421 Merino15482
Merino17428 0 Merino15482
Merino17429 Merino15557 Merino15564
Merino17430 Merino15557 0
Merino17431 Merino15715 Merino15730
Merino17432 Merino15715 Merino15730
Merino17433 Merino15453 Merino15772
Merino17434 Merino15453 Merino15772
Merino17435 Merino15429 Merino15660
Merino17436 0 Merino15660
Merino17437 Merino15545 Merino15780
Merino17438 Merino15545 Merino15780
Merino17439 Merino15471 Merino15560
Merino17440 Merino15471 Merino15560
Merino17441 Merino15641 Merino15710
Merino17442 Merino15641 Merino15710
Merino17443 Merino15649 Merino15506
Merino17444 Merino15649 Merino15506
Merino17445 Merino15473 Merino15396
Merino17446 Merino15473 Merino15396
Merino17447 Merino15759 Merino15570
Merino17448 Merino15759 Merino15570
Merino17449 Merino15605 Merino15738
Merino17450 0 Merino15738
Merino17451 Merino15517 Merino15764
Merino17452 Merino15517 Merino15764
Merino17453 Merino15703 Merino15702
Merino17454 Merino15703 Merino15702
Merino17455 Merino15555 Merino15576
Merino17456 Merino15555 Merino15576
Merino17457 0 Merino15658
Merino17458 Merino15763 Merino15658
Merino17459 Merino15785 Merino15540
Merino17460 Merino15785 Merino15540
Merino17461 Merino15541 Merino15790
Merino17462 Merino15541 Merino15790
Merino17463 0 Merino15462
Merino17464 Merino15533 Merino15462
Merino17465 Merino15421 Merino15436
Merino17466 Merino15421 Merino15436
Merino17467 Merino15557 Merino15604
Merino17468 Merino15557 Merino15604
Merino17469 Merino15413 Merino15424
Merino17470 Merino15413 Merino15424
Merino17471 Merino15453 Merino15408
Merino17472 Merino15453 Merino15408
Merino17473 Merino15429 Merino15450
Merino17474 Merino15429 Merino15450
Merino17475 Merino15545 Merino15632
Merino17476 Merino15545 Merino15632
Merino17477 Merino15471 Merino15712
Merino17478 Merino15471 Merino15712
Merino17479 0 Merino15724
Merino17480 Merino15641 Merino15724
Merino17481 0 Merino15428
Merino17482 Merino15649 Merino15428
Merino17483 Merino15473 Merino15536
Merino17484 Merino15473 Merino15536
Merino17485 Merino15759 Merino15524
Merino17486 Merino15759 Merino15524
Merino17487 Merino15605 Merino15548
Merino17488 Merino15605 Merino15548
Merino17489 Merino15517 Merino15504
Merino17490 Merino15517 Merino15504
Merino17491 Merino15703 Merino15468
Merino17492 Merino15703 Merino15468
Merino17493 Merino15555 Merino15676
Merino17494 Merino15555 Merino15676
Merino17495 Merino15763 Merino15726
Merino17496 0 Merino15726
Merino17497 0 Merino15472
Merino17498 Merino15785 Merino15472
Merino17499 0 Merino15538
Merino17500 Merino15541 Merino15538
Merino17501 Merino15533 Merino15410
Merino17502 Merino15533 Merino15410
Merino17503 Merino15421 0
Merino17504 Merino15421 Merino15644
Merino17505 Merino15557 Merino15756
Merino17506 Merino15557 Merino15756
Merino17507 Merino15413 Merino15484
Merino17508 Merino15413 Merino15484
Merino17509 0 Merino15510
Merino17510 0 Merino15510
Merino17511 Merino15429 Merino15498
Merino17512 Merino15429 Merino15498
Merino17513 Merino15545 Merino15598
Merino17514 Merino15545 Merino15598
Merino17515 Merino15471 Merino15634
Merino17516 Merino15471 Merino15634
Merino17517 Merino15641 Merino15686
Merino17518 Merino15641 Merino15686
Merino17519 Merino15649 Merino15520
Merino17520 Merino15649 Merino15520
Merino17521 Merino15473 Merino15460
Merino17522 Merino15473 Merino15460
Merino17523 Merino15759 Merino15488
Merino17524 Merino15759 Merino15488
Merino17525 0 Merino15778
Merino17526 Merino15605 Merino15778
Merino17527 0 Merino15680
Merino17528 0 Merino15680
Merino17529 Merino15703 Merino15722
Merino17530 Merino15703 Merino15722
Merino17531 Merino15555 Merino15440
Merino17532 Merino15555 Merino15440
Merino17533 Merino15763 Merino15688
Merino17534 Merino15763 Merino15688
Merino17535 Merino15785 Merino15582
Merino17536 0 Merino15582
Merino17537 0 Merino15720
Merino17538 Merino15541 0
Merino17539 Merino15533 Merino15528
Merino17540 Merino15533 Merino15528
Merino17541 Merino15421 Merino15446
Merino17542 Merino15421 Merino15446
Merino17543 Merino15557 Merino15784
Merino17544 Merino15557 0
Merino17545 Merino15413 Merino15628
